,member_name,member_id,member_party,member_json
78,Wayne David,1398,Labour,"{'value': {'id': 1398, 'nameListAs': 'David, Wayne', 'nameDisplayAs': 'Wayne David', 'nameFullTitle': 'Wayne David MP', 'nameAddressAs': 'Wayne David', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Caerphilly', 'membershipFromId': 3382, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1398/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1398', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1398', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1398/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1398/Contact', 'method': 'GET'}]}"
79,Kevin Brennan,1400,Labour,"{'value': {'id': 1400, 'nameListAs': 'Brennan, Kevin', 'nameDisplayAs': 'Kevin Brennan', 'nameFullTitle': 'Kevin Brennan MP', 'nameAddressAs': 'Kevin Brennan', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Cardiff West', 'membershipFromId': 3392, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1400/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1400', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1400', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1400/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1400/Contact', 'method': 'GET'}]}"
80,Jon Cruddas,1406,Labour,"{'value': {'id': 1406, 'nameListAs': 'Cruddas, Jon', 'nameDisplayAs': 'Jon Cruddas', 'nameFullTitle': 'Jon Cruddas MP', 'nameAddressAs': 'Jon Cruddas', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Dagenham and Rainham', 'membershipFromId': 3436, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1406/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1406', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1406', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1406/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1406/Contact', 'method': 'GET'}]}"
81,Mr Gregory Campbell,1409,Democratic Unionist Party,"{'value': {'id': 1409, 'nameListAs': 'Campbell, Mr Gregory', 'nameDisplayAs': 'Mr Gregory Campbell', 'nameFullTitle': 'Mr Gregory Campbell MP', 'nameAddressAs': 'Mr Campbell', 'latestParty': {'id': 7, 'name': 'Democratic Unionist Party', 'abbreviation': 'DUP', 'backgroundColour': '000080', 'foregroundColour': 'FFFFFF', 'isLordsMainParty': False, 'isLordsSpiritualParty': True, 'governmentType': None, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'East Londonderry', 'membershipFromId': 3463, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1409/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1409', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1409', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1409/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1409/Contact', 'method': 'GET'}]}"
82,Chris Grayling,1413,Conservative,"{'value': {'id': 1413, 'nameListAs': 'Grayling, Chris', 'nameDisplayAs': 'Chris Grayling', 'nameFullTitle': 'Rt Hon Chris Grayling MP', 'nameAddressAs': 'Chris Grayling', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Epsom and Ewell', 'membershipFromId': 3477, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1413/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1413', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1413', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1413/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1413/Contact', 'method': 'GET'}]}"
83,Michelle Gildernew,1416,Sinn Féin,"{'value': {'id': 1416, 'nameListAs': 'Gildernew, Michelle', 'nameDisplayAs': 'Michelle Gildernew', 'nameFullTitle': 'Michelle Gildernew MP', 'nameAddressAs': 'Michelle Gildernew', 'latestParty': {'id': 30, 'name': 'Sinn Féin', 'abbreviation': 'SF', 'backgroundColour': '99CC00', 'foregroundColour': 'FFFFFF', 'isLordsMainParty': False, 'isLordsSpiritualParty': False, 'governmentType': None, 'isIndependentParty': False}, 'gender': 'F', 'latestHouseMembership': {'membershipFrom': 'Fermanagh and South Tyrone', 'membershipFromId': 3485, 'house': 1, 'membershipStartDate': '2017-06-08T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1416/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1416', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1416', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1416/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1416/Contact', 'method': 'GET'}]}"
84,Mr Jonathan Djanogly,1425,Conservative,"{'value': {'id': 1425, 'nameListAs': 'Djanogly, Mr Jonathan', 'nameDisplayAs': 'Mr Jonathan Djanogly', 'nameFullTitle': 'Mr Jonathan Djanogly MP', 'nameAddressAs': 'Mr Djanogly', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Huntingdon', 'membershipFromId': 3543, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1425/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1425', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1425', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1425/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1425/Contact', 'method': 'GET'}]}"
85,Sir Bill Wiggin,1428,Conservative,"{'value': {'id': 1428, 'nameListAs': 'Wiggin, Sir Bill', 'nameDisplayAs': 'Sir Bill Wiggin', 'nameFullTitle': 'Sir Bill Wiggin MP', 'nameAddressAs': 'Sir Bill Wiggin', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'North Herefordshire', 'membershipFromId': 3646, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1428/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1428', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1428', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1428/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1428/Contact', 'method': 'GET'}]}"
86,Mr Kevan Jones,1438,Labour,"{'value': {'id': 1438, 'nameListAs': 'Jones, Mr Kevan', 'nameDisplayAs': 'Mr Kevan Jones', 'nameFullTitle': 'Rt Hon Kevan Jones MP', 'nameAddressAs': 'Mr Jones', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'North Durham', 'membershipFromId': 3639, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1438/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1438', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1438', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1438/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1438/Contact', 'method': 'GET'}]}"
87,Pete Wishart,1440,Scottish National Party,"{'value': {'id': 1440, 'nameListAs': 'Wishart, Pete', 'nameDisplayAs': 'Pete Wishart', 'nameFullTitle': 'Pete Wishart MP', 'nameAddressAs': 'Pete Wishart', 'latestParty': {'id': 29, 'name': 'Scottish National Party', 'abbreviation': 'SNP', 'backgroundColour': 'fcf28f', 'foregroundColour': '000000', 'isLordsMainParty': False, 'isLordsSpiritualParty': False, 'governmentType': None, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Perth and North Perthshire', 'membershipFromId': 2316, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1440/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1440', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1440', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1440/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1440/Contact', 'method': 'GET'}]}"
88,Mr Alistair Carmichael,1442,Liberal Democrat,"{'value': {'id': 1442, 'nameListAs': 'Carmichael, Mr Alistair', 'nameDisplayAs': 'Mr Alistair Carmichael', 'nameFullTitle': 'Rt Hon Alistair Carmichael MP', 'nameAddressAs': 'Mr Carmichael', 'latestParty': {'id': 17, 'name': 'Liberal Democrat', 'abbreviation': 'LD', 'backgroundColour': 'f8a428', 'foregroundColour': 'FFFFFF', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': None, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Orkney and Shetland', 'membershipFromId': 2256, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1442/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1442', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1442', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1442/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1442/Contact', 'method': 'GET'}]}"
89,Mr Mark Francois,1444,Conservative,"{'value': {'id': 1444, 'nameListAs': 'Francois, Mr Mark', 'nameDisplayAs': 'Mr Mark Francois', 'nameFullTitle': 'Rt Hon Mark Francois MP', 'nameAddressAs': 'Mr Francois', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Rayleigh and Wickford', 'membershipFromId': 3690, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1444/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1444', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1444', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1444/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1444/Contact', 'method': 'GET'}]}"
90,Sir Chris Bryant,1446,Labour,"{'value': {'id': 1446, 'nameListAs': 'Bryant, Sir Chris', 'nameDisplayAs': 'Sir Chris Bryant', 'nameFullTitle': 'Sir Chris Bryant MP', 'nameAddressAs': 'Sir Chris Bryant', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Rhondda', 'membershipFromId': 3696, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1446/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1446', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1446', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1446/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1446/Contact', 'method': 'GET'}]}"
91,Andrew Rosindell,1447,Conservative,"{'value': {'id': 1447, 'nameListAs': 'Rosindell, Andrew', 'nameDisplayAs': 'Andrew Rosindell', 'nameFullTitle': 'Andrew Rosindell MP', 'nameAddressAs': 'Andrew Rosindell', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Romford', 'membershipFromId': 3703, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1447/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1447', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1447', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1447/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1447/Contact', 'method': 'GET'}]}"
92,Mr Richard Bacon,1451,Conservative,"{'value': {'id': 1451, 'nameListAs': 'Bacon, Mr Richard', 'nameDisplayAs': 'Mr Richard Bacon', 'nameFullTitle': 'Mr Richard Bacon MP', 'nameAddressAs': 'Mr Bacon', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'South Norfolk', 'membershipFromId': 3746, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1451/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1451', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1451', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1451/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1451/Contact', 'method': 'GET'}]}"
93,Andrew Selous,1453,Conservative,"{'value': {'id': 1453, 'nameListAs': 'Selous, Andrew', 'nameDisplayAs': 'Andrew Selous', 'nameFullTitle': 'Andrew Selous MP', 'nameAddressAs': 'Andrew Selous', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'South West Bedfordshire', 'membershipFromId': 3754, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1453/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1453', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1453', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1453/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1453/Contact', 'method': 'GET'}]}"
94,Dr Andrew Murrison,1466,Conservative,"{'value': {'id': 1466, 'nameListAs': 'Murrison, Dr Andrew', 'nameDisplayAs': 'Dr Andrew Murrison', 'nameFullTitle': 'Rt Hon Dr Andrew Murrison MP', 'nameAddressAs': 'Dr Murrison', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'South West Wiltshire', 'membershipFromId': 3759, 'house': 1, 'membershipStartDate': '2001-06-07T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1466/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1466', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1466', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1466/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1466/Contact', 'method': 'GET'}]}"
95,Dame Maria Miller,1480,Conservative,"{'value': {'id': 1480, 'nameListAs': 'Miller, Dame Maria', 'nameDisplayAs': 'Dame Maria Miller', 'nameFullTitle': 'Rt Hon Dame Maria Miller MP', 'nameAddressAs': 'Dame Maria Miller', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'F', 'latestHouseMembership': {'membershipFrom': 'Basingstoke', 'membershipFromId': 3306, 'house': 1, 'membershipStartDate': '2005-05-05T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1480/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1480', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1480', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1480/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1480/Contact', 'method': 'GET'}]}"
96,Ms Nadine Dorries,1481,Conservative,"{'value': {'id': 1481, 'nameListAs': 'Dorries, Ms Nadine', 'nameDisplayAs': 'Ms Nadine Dorries', 'nameFullTitle': 'Rt Hon Nadine Dorries MP', 'nameAddressAs': None, 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'F', 'latestHouseMembership': {'membershipFrom': 'Mid Bedfordshire', 'membershipFromId': 3603, 'house': 1, 'membershipStartDate': '2005-05-05T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1481/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1481', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1481', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1481/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1481/Contact', 'method': 'GET'}]}"
97,Graham Stuart,1482,Conservative,"{'value': {'id': 1482, 'nameListAs': 'Stuart, Graham', 'nameDisplayAs': 'Graham Stuart', 'nameFullTitle': 'Rt Hon Graham Stuart MP', 'nameAddressAs': 'Graham Stuart', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Beverley and Holderness', 'membershipFromId': 3321, 'house': 1, 'membershipStartDate': '2005-05-05T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/1482/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/1482', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/1482', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/1482/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/1482/Contact', 'method': 'GET'}]}"
