,member_id,display_name,list_name,full_title,address as,constituency,member_party,gender
222,4058,Paul Blomfield,"Blomfield, Paul",Paul Blomfield MP,Paul Blomfield,Sheffield Central,Labour,M
223,4060,Sir Jake Berry,"Berry, Sir Jake",Sir Jake Berry MP,,Rossendale and Darwen,Conservative,M
224,4061,Bill Esterson,"Esterson, Bill",Bill Esterson MP,Bill Esterson,Sefton Central,Labour,M
225,4064,Mr Steve Baker,"Baker, Mr Steve",Mr Steve Baker MP,Mr Baker,Wycombe,Conservative,M
226,4065,Jackie Doyle-Price,"Doyle-Price, Jackie",Jackie Doyle-Price MP,Jackie Doyle-Price,Thurrock,Conservative,F
227,4066,Priti Patel,"Patel, Priti",Rt Hon Priti Patel MP,Priti Patel,Witham,Conservative,F
228,4067,Steve Brine,"Brine, Steve",Steve Brine MP,Steve Brine,Winchester,Conservative,M
229,4069,Peter Aldous,"Aldous, Peter",Peter Aldous MP,Peter Aldous,Waveney,Conservative,M
230,4070,Matt Hancock,"Hancock, Matt",Rt Hon Matt Hancock MP,Matt Hancock,West Suffolk,Independent,M
231,4074,Mark Garnier,"Garnier, Mark",Mark Garnier MP,Mark Garnier,Wyre Forest,Conservative,M
232,4075,Christopher Pincher,"Pincher, Christopher",Rt Hon Christopher Pincher MP,Christopher Pincher,Tamworth,Independent,M
233,4076,Valerie Vaz,"Vaz, Valerie",Rt Hon Valerie Vaz MP,,Walsall South,Labour,F
234,4079,Julian Sturdy,"Sturdy, Julian",Julian Sturdy MP,Julian Sturdy,York Outer,Conservative,M
235,4082,Lisa Nandy,"Nandy, Lisa",Lisa Nandy MP,Lisa Nandy,Wigan,Labour,F
236,4083,Alison McGovern,"McGovern, Alison",Alison McGovern MP,Alison McGovern,Wirral South,Labour,F
237,4084,Esther McVey,"McVey, Esther",Rt Hon Esther McVey MP,Esther McVey,Tatton,Conservative,F
238,4086,Alun Cairns,"Cairns, Alun",Rt Hon Alun Cairns MP,Alun Cairns,Vale of Glamorgan,Conservative,M
239,4088,Stella Creasy,"Creasy, Stella",Stella Creasy MP,Stella Creasy,Walthamstow,Labour (Co-op),F
240,4090,Mr Jonathan Lord,"Lord, Mr Jonathan",Mr Jonathan Lord MP,,Woking,Conservative,M
241,4091,Mr Robin Walker,"Walker, Mr Robin",Mr Robin Walker MP,Mr Walker,Worcester,Conservative,M
242,4092,Stephen Metcalfe,"Metcalfe, Stephen",Stephen Metcalfe MP,Stephen Metcalfe,South Basildon and East Thurrock,Conservative,M
243,4093,Stephen McPartland,"McPartland, Stephen",Rt Hon Stephen McPartland MP,Stephen McPartland,Stevenage,Conservative,M
244,4095,Steve Barclay,"Barclay, Steve",Rt Hon Steve Barclay MP,,North East Cambridgeshire,Conservative,M
245,4097,Elizabeth Truss,"Truss, Elizabeth",Rt Hon Elizabeth Truss MP,Elizabeth Truss,South West Norfolk,Conservative,F
246,4098,Dr Thérèse Coffey,"Coffey, Dr Thérèse",Rt Hon Dr Thérèse Coffey MP,,Suffolk Coastal,Conservative,F
247,4099,Sir Jacob Rees-Mogg,"Rees-Mogg, Sir Jacob",Rt Hon Sir Jacob Rees-Mogg MP,Sir Jacob Rees-Mogg,North East Somerset,Conservative,M
248,4100,Mrs Sheryll Murray,"Murray, Mrs Sheryll",Mrs Sheryll Murray MP,Mrs Murray,South East Cornwall,Conservative,F
249,4105,Justin Tomlinson,"Tomlinson, Justin",Justin Tomlinson MP,Justin Tomlinson,North Swindon,Conservative,M
250,4106,Sir Robert Buckland,"Buckland, Sir Robert",Rt Hon Sir Robert Buckland KC MP,Sir Robert,South Swindon,Conservative,M
251,4107,Harriett Baldwin,"Baldwin, Harriett",Harriett Baldwin MP,Harriett Baldwin,West Worcestershire,Conservative,F
252,4108,Sir Gavin Williamson,"Williamson, Sir Gavin",Rt Hon Sir Gavin Williamson MP,Sir Gavin,South Staffordshire,Conservative,M
253,4110,Karen Bradley,"Bradley, Karen",Rt Hon Karen Bradley MP,,Staffordshire Moorlands,Conservative,F
254,4113,Nadhim Zahawi,"Zahawi, Nadhim",Rt Hon Nadhim Zahawi MP,Nadhim Zahawi,Stratford-on-Avon,Conservative,M
255,4116,Sir Michael  Ellis,"Ellis, Sir Michael",Rt Hon Sir Michael  Ellis MP,Sir Michael Ellis,Northampton North,Conservative,M
256,4117,Andrea Leadsom,"Leadsom, Andrea",Rt Hon Andrea Leadsom MP,,South Northamptonshire,Conservative,F
257,4118,Julian Smith,"Smith, Julian",Rt Hon Julian Smith MP,,Skipton and Ripon,Conservative,M
258,4119,Jonathan Reynolds,"Reynolds, Jonathan",Jonathan Reynolds MP,Jonathan Reynolds,Stalybridge and Hyde,Labour (Co-op),M
259,4122,Alex Cunningham,"Cunningham, Alex",Alex Cunningham MP,Alex Cunningham,Stockton North,Labour,M
260,4124,Chi Onwurah,"Onwurah, Chi",Chi Onwurah MP,Chi Onwurah,Newcastle upon Tyne Central,Labour,F
261,4125,Catherine McKinnell,"McKinnell, Catherine",Catherine McKinnell MP,Catherine McKinnell,Newcastle upon Tyne North,Labour,F
262,4126,Mary Glindon,"Glindon, Mary",Mary Glindon MP,Mary Glindon,North Tyneside,Labour,F
263,4127,Julie Elliott,"Elliott, Julie",Julie Elliott MP,Julie Elliott,Sunderland Central,Labour,F
264,4129,Ian Paisley,"Paisley, Ian",Ian Paisley MP,Ian Paisley,North Antrim,Democratic Unionist Party,M
265,4131,Jim Shannon,"Shannon, Jim",Jim Shannon MP,Jim Shannon,Strangford,Democratic Unionist Party,M
266,4132,Richard Drax,"Drax, Richard",Richard Drax MP,Richard Drax,South Dorset,Conservative,M
267,4133,Andrew Bridgen,"Bridgen, Andrew",Andrew Bridgen MP,Andrew Bridgen,North West Leicestershire,The Reclaim Party,M
268,4134,Kwasi Kwarteng,"Kwarteng, Kwasi",Rt Hon Kwasi Kwarteng MP,,Spelthorne,Conservative,M
269,4135,David Morris,"Morris, David",David Morris MP,David Morris,Morecambe and Lunesdale,Conservative,M
270,4136,Nigel Mills,"Mills, Nigel",Nigel Mills MP,Nigel Mills,Amber Valley,Conservative,M
271,4138,Rushanara Ali,"Ali, Rushanara",Rushanara Ali MP,Rushanara Ali,Bethnal Green and Bow,Labour,F
272,4139,Ian Lavery,"Lavery, Ian",Ian Lavery MP,Ian Lavery,Wansbeck,Labour,M
273,4142,Guy Opperman,"Opperman, Guy",Guy Opperman MP,Guy Opperman,Hexham,Conservative,M
274,4212,Debbie Abrahams,"Abrahams, Debbie",Debbie Abrahams MP,Debbie Abrahams,Oldham East and Saddleworth,Labour,F
275,4243,Dan Jarvis,"Jarvis, Dan",Dan Jarvis MP,Dan Jarvis,Barnsley Central,Labour,M
276,4244,Jonathan Ashworth,"Ashworth, Jonathan",Rt Hon Jonathan Ashworth MP,Jonathan Ashworth,Leicester South,Labour (Co-op),M
277,4245,Paul Maskey,"Maskey, Paul",Paul Maskey MP,Paul Maskey,Belfast West,Sinn Féin,M
278,4249,Anne Marie Morris,"Morris, Anne Marie",Anne Marie Morris MP,Anne Marie Morris,Newton Abbot,Conservative,F
279,4253,Seema Malhotra,"Malhotra, Seema",Seema Malhotra MP,Seema Malhotra,Feltham and Heston,Labour (Co-op),F
280,4263,Lucy Powell,"Powell, Lucy",Lucy Powell MP,Lucy Powell,Manchester Central,Labour (Co-op),F
281,4264,Stephen Doughty,"Doughty, Stephen",Stephen Doughty MP,Stephen Doughty,Cardiff South and Penarth,Labour (Co-op),M
282,4267,Sarah Champion,"Champion, Sarah",Sarah Champion MP,Sarah Champion,Rotherham,Labour,F
283,4268,Steve Reed,"Reed, Steve",Steve Reed MP,Steve Reed,Croydon North,Labour (Co-op),M
284,4269,Andy McDonald,"McDonald, Andy",Andy McDonald MP,Andy McDonald,Middlesbrough,Labour,M
285,4274,Francie Molloy,"Molloy, Francie",Francie Molloy MP,Francie Molloy,Mid Ulster,Sinn Féin,M
286,4277,Mrs Emma Lewell-Buck,"Lewell-Buck, Mrs Emma",Mrs Emma Lewell-Buck MP,Mrs Lewell-Buck,South Shields,Labour,F
287,4316,Mike Kane,"Kane, Mike",Mike Kane MP,,Wythenshawe and Sale East,Labour,M
288,4320,Robert Jenrick,"Jenrick, Robert",Rt Hon Robert Jenrick MP,,Newark,Conservative,M
289,4356,Angela Rayner,"Rayner, Angela",Rt Hon Angela Rayner MP,Angela Rayner,Ashton-under-Lyne,Labour,F
290,4357,Kirsty Blackman,"Blackman, Kirsty",Kirsty Blackman MP,Kirsty Blackman,Aberdeen North,Scottish National Party,F
291,4358,Wendy Morton,"Morton, Wendy",Rt Hon Wendy Morton MP,Wendy Morton,Aldridge-Brownhills,Conservative,F
292,4359,Stephen Kinnock,"Kinnock, Stephen",Stephen Kinnock MP,Stephen Kinnock,Aberavon,Labour,M
293,4360,Gavin Robinson,"Robinson, Gavin",Gavin Robinson MP,Gavin Robinson,Belfast East,Democratic Unionist Party,M
294,4361,Matt Warman,"Warman, Matt",Matt Warman MP,Matt Warman,Boston and Skegness,Conservative,M
295,4362,Edward Argar,"Argar, Edward",Rt Hon Edward Argar MP,Edward Argar,Charnwood,Conservative,M
296,4363,Kate Hollern,"Hollern, Kate",Kate Hollern MP,Kate Hollern,Blackburn,Labour,F
297,4366,James Cleverly,"Cleverly, James",Rt Hon James Cleverly MP,,Braintree,Conservative,M
298,4368,Neil Coyle,"Coyle, Neil",Neil Coyle MP,Neil Coyle,Bermondsey and Old Southwark,Labour,M
299,4369,Tom Pursglove,"Pursglove, Tom",Tom Pursglove MP,Tom Pursglove,Corby,Conservative,M
300,4370,Jess Phillips,"Phillips, Jess",Jess Phillips MP,Jess Phillips,"Birmingham, Yardley",Labour,F
301,4371,Brendan O'Hara,"O'Hara, Brendan",Brendan O'Hara MP,Brendan O'Hara,Argyll and Bute,Scottish National Party,M
302,4372,Amanda Solloway,"Solloway, Amanda",Amanda Solloway MP,,Derby North,Conservative,F
303,4373,Mickey Brady,"Brady, Mickey",Mickey Brady MP,Mr Brady,Newry and Armagh,Sinn Féin,M
304,4374,Martin Docherty-Hughes,"Docherty-Hughes, Martin",Martin Docherty-Hughes MP,Martin Docherty-Hughes,West Dunbartonshire,Scottish National Party,M
305,4378,Colleen Fletcher,"Fletcher, Colleen",Colleen Fletcher MP,Colleen Fletcher,Coventry North East,Labour,F
306,4380,Jo Churchill,"Churchill, Jo",Jo Churchill MP,Jo Churchill,Bury St Edmunds,Conservative,F
307,4382,Daniel Zeichner,"Zeichner, Daniel",Daniel Zeichner MP,Daniel Zeichner,Cambridge,Labour,M
308,4384,Mike Wood,"Wood, Mike",Mike Wood MP,Mike Wood,Dudley South,Conservative,M
309,4385,Dr Philippa Whitford,"Whitford, Dr Philippa",Dr Philippa Whitford MP,Dr Whitford,Central Ayrshire,Scottish National Party,F
310,4386,Margaret Ferrier,"Ferrier, Margaret",Margaret Ferrier MP,,Rutherglen and Hamilton West,Independent,F
311,4389,Ruth Cadbury,"Cadbury, Ruth",Ruth Cadbury MP,Ruth Cadbury,Brentford and Isleworth,Labour,F
312,4390,Ian Blackford,"Blackford, Ian",Rt Hon Ian Blackford MP,Ian Blackford,"Ross, Skye and Lochaber",Scottish National Party,M
313,4391,Judith Cummins,"Cummins, Judith",Judith Cummins MP,Judith Cummins,Bradford South,Labour,F
314,4393,Stuart C McDonald,"McDonald, Stuart C",Stuart C McDonald MP,,"Cumbernauld, Kilsyth and Kirkintilloch East",Scottish National Party,M
315,4394,Imran Hussain,"Hussain, Imran",Imran Hussain MP,Imran Hussain,Bradford East,Labour,M
316,4396,Rebecca Long Bailey,"Long Bailey, Rebecca",Rebecca Long Bailey MP,Ms Long Bailey,Salford and Eccles,Labour,F
317,4397,Peter Dowd,"Dowd, Peter",Peter Dowd MP,Peter Dowd,Bootle,Labour,M
318,4398,Chris Green,"Green, Chris",Chris Green MP,Chris Green,Bolton West,Conservative,M
319,4399,Victoria Atkins,"Atkins, Victoria",Victoria Atkins MP,Victoria Atkins,Louth and Horncastle,Conservative,F
320,4400,Margaret Greenwood,"Greenwood, Margaret",Margaret Greenwood MP,Margaret Greenwood,Wirral West,Labour,F
321,4401,Victoria Prentis,"Prentis, Victoria",Rt Hon Victoria Prentis MP,Victoria Prentis,Banbury,Conservative,F
322,4402,Douglas Chapman,"Chapman, Douglas",Douglas Chapman MP,Douglas Chapman,Dunfermline and West Fife,Scottish National Party,M
323,4403,Chris Law,"Law, Chris",Chris Law MP,Chris Law,Dundee West,Scottish National Party,M
324,4406,Mary Robinson,"Robinson, Mary",Mary Robinson MP,Mary Robinson,Cheadle,Conservative,F
325,4407,Nigel Huddleston,"Huddleston, Nigel",Nigel Huddleston MP,Nigel Huddleston,Mid Worcestershire,Conservative,M
326,4409,Naz Shah,"Shah, Naz",Naz Shah MP,Naz Shah,Bradford West,Labour,F
327,4410,Julian Knight,"Knight, Julian",Julian Knight MP,Julian Knight,Solihull,Independent,M
328,4411,Lucy Allan,"Allan, Lucy",Lucy Allan MP,Lucy Allan,Telford,Conservative,F
329,4412,Dr Lisa Cameron,"Cameron, Dr Lisa",Dr Lisa Cameron MP,Dr Cameron,"East Kilbride, Strathaven and Lesmahagow",Scottish National Party,F
330,4413,Kirsten Oswald,"Oswald, Kirsten",Kirsten Oswald MP,,East Renfrewshire,Scottish National Party,F
331,4414,Paul Scully,"Scully, Paul",Paul Scully MP,Paul Scully,Sutton and Cheam,Conservative,M
332,4415,John Nicolson,"Nicolson, John",John Nicolson MP,,Ochil and South Perthshire,Scottish National Party,M
333,4417,Deidre Brock,"Brock, Deidre",Deidre Brock MP,Deidre Brock,Edinburgh North and Leith,Scottish National Party,F
334,4418,Justin Madders,"Madders, Justin",Justin Madders MP,Justin Madders,Ellesmere Port and Neston,Labour,M
335,4419,Joanna Cherry,"Cherry, Joanna",Joanna Cherry KC MP,Joanna Cherry,Edinburgh South West,Scottish National Party,F
336,4420,Gavin Newlands,"Newlands, Gavin",Gavin Newlands MP,Gavin Newlands,Paisley and Renfrewshire North,Scottish National Party,M
337,4421,Mhairi Black,"Black, Mhairi",Mhairi Black MP,Mhairi Black,Paisley and Renfrewshire South,Scottish National Party,F
338,4423,Will Quince,"Quince, Will",Will Quince MP,Will Quince,Colchester,Conservative,M
339,4424,John McNally,"McNally, John",John McNally MP,John McNally,Falkirk,Scottish National Party,M
340,4425,Jo Stevens,"Stevens, Jo",Jo Stevens MP,Jo Stevens,Cardiff Central,Labour,F
341,4429,Mr William Wragg,"Wragg, Mr William",Mr William Wragg MP,Mr Wragg,Hazel Grove,Conservative,M
342,4430,Alison Thewliss,"Thewliss, Alison",Alison Thewliss MP,Alison Thewliss,Glasgow Central,Scottish National Party,F
343,4432,Patrick Grady,"Grady, Patrick",Patrick Grady MP,Patrick Grady,Glasgow North,Scottish National Party,M
344,4433,Thangam Debbonaire,"Debbonaire, Thangam",Thangam Debbonaire MP,Thangam Debbonaire,Bristol West,Labour,F
345,4435,Patricia Gibson,"Gibson, Patricia",Patricia Gibson MP,Patricia Gibson,North Ayrshire and Arran,Scottish National Party,F
346,4436,Cat Smith,"Smith, Cat",Cat Smith MP,Cat Smith,Lancaster and Fleetwood,Labour,F
347,4437,Anne McLaughlin,"McLaughlin, Anne",Anne McLaughlin MP,,Glasgow North East,Scottish National Party,F
348,4438,Craig Williams,"Williams, Craig",Craig Williams MP,,Montgomeryshire,Conservative,M
349,4439,Alberto Costa,"Costa, Alberto",Alberto Costa MP,Alberto Costa,South Leicestershire,Conservative,M
350,4440,Marion Fellows,"Fellows, Marion",Marion Fellows MP,Marion Fellows,Motherwell and Wishaw,Scottish National Party,F
351,4441,Oliver Dowden,"Dowden, Oliver",Rt Hon Oliver Dowden MP,,Hertsmere,Conservative,M
352,4442,Huw Merriman,"Merriman, Huw",Huw Merriman MP,Huw Merriman,Bexhill and Battle,Conservative,M
353,4443,Carol Monaghan,"Monaghan, Carol",Carol Monaghan MP,Carol Monaghan,Glasgow North West,Scottish National Party,F
354,4444,Karin Smyth,"Smyth, Karin",Karin Smyth MP,Karin Smyth,Bristol South,Labour,F
355,4446,Mr Marcus Fysh,"Fysh, Mr Marcus",Mr Marcus Fysh MP,Mr Fysh,Yeovil,Conservative,M
356,4447,Maggie Throup,"Throup, Maggie",Maggie Throup MP,Maggie Throup,Erewash,Conservative,F
357,4450,Luke Hall,"Hall, Luke",Luke Hall MP,Luke Hall,Thornbury and Yate,Conservative,M
358,4451,Kevin Foster,"Foster, Kevin",Kevin Foster MP,Kevin Foster,Torbay,Conservative,M
359,4452,Steve Double,"Double, Steve",Steve Double MP,Steve Double,St Austell and Newquay,Conservative,M
360,4453,Tommy Sheppard,"Sheppard, Tommy",Tommy Sheppard MP,Tommy Sheppard,Edinburgh East,Scottish National Party,M
361,4454,Dame Amanda Milling,"Milling, Dame Amanda",Rt Hon Dame Amanda Milling MP,Dame Amanda Milling,Cannock Chase,Conservative,F
362,4456,Jeff Smith,"Smith, Jeff",Jeff Smith MP,Jeff Smith,"Manchester, Withington",Labour,M
363,4457,Ms Marie Rimmer,"Rimmer, Ms Marie",Ms Marie Rimmer MP,Ms Marie Rimmer,St Helens South and Whiston,Labour,F
364,4458,Conor McGinn,"McGinn, Conor",Conor McGinn MP,Conor McGinn,St Helens North,Independent,M
365,4459,Mrs Flick Drummond,"Drummond, Mrs Flick",Mrs Flick Drummond MP,,Meon Valley,Conservative,F
366,4460,Ms Nusrat Ghani,"Ghani, Ms Nusrat",Ms Nusrat Ghani MP,,Wealden,Conservative,F
367,4461,Stewart Malcolm McDonald,"McDonald, Stewart Malcolm",Stewart Malcolm McDonald MP,Stewart Malcolm McDonald,Glasgow South,Scottish National Party,M
368,4462,Tom Tugendhat,"Tugendhat, Tom",Rt Hon Tom Tugendhat MP,Tom Tugendhat,Tonbridge and Malling,Conservative,M
369,4463,Chris Stephens,"Stephens, Chris",Chris Stephens MP,Chris Stephens,Glasgow South West,Scottish National Party,M
370,4465,Ronnie Cowan,"Cowan, Ronnie",Ronnie Cowan MP,Ronnie Cowan,Inverclyde,Scottish National Party,M
371,4466,Peter Grant,"Grant, Peter",Peter Grant MP,Peter Grant,Glenrothes,Scottish National Party,M
372,4467,Drew Hendry,"Hendry, Drew",Drew Hendry MP,Drew Hendry,"Inverness, Nairn, Badenoch and Strathspey",Scottish National Party,M
373,4469,Angela Crawley,"Crawley, Angela",Angela Crawley MP,Angela Crawley,Lanark and Hamilton East,Scottish National Party,F
374,4470,Alan Brown,"Brown, Alan",Alan Brown MP,Mr Brown,Kilmarnock and Loudoun,Scottish National Party,M
375,4471,Rachael Maskell,"Maskell, Rachael",Rachael Maskell MP,Rachael Maskell,York Central,Labour (Co-op),F
376,4472,Holly Lynch,"Lynch, Holly",Holly Lynch MP,Holly Lynch,Halifax,Labour,F
377,4473,Louise Haigh,"Haigh, Louise",Louise Haigh MP,Louise Haigh,"Sheffield, Heeley",Labour,F
378,4474,Kevin Hollinrake,"Hollinrake, Kevin",Kevin Hollinrake MP,Kevin Hollinrake,Thirsk and Malton,Conservative,M
379,4475,Suella Braverman,"Braverman, Suella",Rt Hon Suella Braverman KC MP,Suella Braverman,Fareham,Conservative,F
380,4476,Dr James Davies,"Davies, Dr James",Dr James Davies MP,,Vale of Clwyd,Conservative,M
381,4478,Royston Smith,"Smith, Royston",Royston Smith MP,Royston Smith,"Southampton, Itchen",Conservative,M
382,4479,Nick Thomas-Symonds,"Thomas-Symonds, Nick",Rt Hon Nick Thomas-Symonds MP,Nick Thomas-Symonds,Torfaen,Labour,M
383,4480,Carolyn Harris,"Harris, Carolyn",Carolyn Harris MP,Carolyn Harris,Swansea East,Labour,F
384,4481,Alex Chalk,"Chalk, Alex",Alex Chalk KC MP,Alex Chalk,Cheltenham,Conservative,M
385,4482,Owen Thompson,"Thompson, Owen",Owen Thompson MP,,Midlothian,Scottish National Party,M
386,4483,Rishi Sunak,"Sunak, Rishi",Rt Hon Rishi Sunak MP,Rishi Sunak,Richmond (Yorks),Conservative,M
387,4484,Alan Mak,"Mak, Alan",Alan Mak MP,Alan Mak,Havant,Conservative,M
388,4485,Johnny Mercer,"Mercer, Johnny",Rt Hon Johnny Mercer MP,Johnny Mercer,"Plymouth, Moor View",Conservative,M
389,4486,Hannah Bardell,"Bardell, Hannah",Hannah Bardell MP,Hannah Bardell,Livingston,Scottish National Party,F
390,4487,Kelly Tolhurst,"Tolhurst, Kelly",Rt Hon Kelly Tolhurst MP,Kelly Tolhurst,Rochester and Strood,Conservative,F
391,4488,Martyn Day,"Day, Martyn",Martyn Day MP,Martyn Day,Linlithgow and East Falkirk,Scottish National Party,M
392,4490,Dame Andrea Jenkyns,"Jenkyns, Dame Andrea",Dame Andrea Jenkyns MP,Dame Andrea Jenkyns,Morley and Outwood,Conservative,F
393,4491,Vicky Foxcroft,"Foxcroft, Vicky",Vicky Foxcroft MP,Vicky Foxcroft,"Lewisham, Deptford",Labour,F
394,4492,Maria Caulfield,"Caulfield, Maria",Maria Caulfield MP,Maria Caulfield,Lewes,Conservative,F
395,4493,Richard Burgon,"Burgon, Richard",Richard Burgon MP,Richard Burgon,Leeds East,Labour,M
396,4494,Simon Hoare,"Hoare, Simon",Simon Hoare MP,Simon Hoare,North Dorset,Conservative,M
397,4495,Kit Malthouse,"Malthouse, Kit",Rt Hon Kit Malthouse MP,Kit Malthouse,North West Hampshire,Conservative,M
398,4496,Scott Mann,"Mann, Scott",Scott Mann MP,Scott Mann,North Cornwall,Conservative,M
399,4497,Michael Tomlinson,"Tomlinson, Michael",Michael Tomlinson MP,Michael Tomlinson,Mid Dorset and North Poole,Conservative,M
400,4498,Mr Ranil Jayawardena,"Jayawardena, Mr Ranil",Rt Hon Ranil Jayawardena MP,Mr Jayawardena,North East Hampshire,Conservative,M
401,4500,Clive Lewis,"Lewis, Clive",Clive Lewis MP,Clive Lewis,Norwich South,Labour,M
402,4501,Gerald Jones,"Jones, Gerald",Gerald Jones MP,Gerald Jones,Merthyr Tydfil and Rhymney,Labour,M
403,4503,Chris Philp,"Philp, Chris",Rt Hon Chris Philp MP,Chris Philp,Croydon South,Conservative,M
404,4504,Wes Streeting,"Streeting, Wes",Wes Streeting MP,Wes Streeting,Ilford North,Labour,M
405,4505,Peter Kyle,"Kyle, Peter",Peter Kyle MP,Peter Kyle,Hove,Labour,M
406,4507,Jeremy Quin,"Quin, Jeremy",Rt Hon Jeremy Quin MP,Jeremy Quin,Horsham,Conservative,M
407,4509,Craig Tracey,"Tracey, Craig",Craig Tracey MP,Craig Tracey,North Warwickshire,Conservative,M
408,4510,Helen Hayes,"Hayes, Helen",Helen Hayes MP,Helen Hayes,Dulwich and West Norwood,Labour,F
409,4511,Dr Rupa Huq,"Huq, Dr Rupa",Dr Rupa Huq MP,Dr Huq,Ealing Central and Acton,Labour,F
410,4512,Caroline Ansell,"Ansell, Caroline",Caroline Ansell MP,,Eastbourne,Conservative,F
411,4513,Mims Davies,"Davies, Mims",Mims Davies MP,Mims Davies,Mid Sussex,Conservative,F
412,4514,Keir Starmer,"Starmer, Keir",Rt Hon Keir Starmer MP,Keir Starmer,Holborn and St Pancras,Labour,M
413,4515,Kate Osamor,"Osamor, Kate",Kate Osamor MP,Kate Osamor,Edmonton,Labour (Co-op),F
414,4517,Lucy Frazer,"Frazer, Lucy",Rt Hon Lucy Frazer KC MP,Lucy Frazer,South East Cambridgeshire,Conservative,F
415,4518,Tulip Siddiq,"Siddiq, Tulip",Tulip Siddiq MP,Tulip Siddiq,Hampstead and Kilburn,Labour,F
416,4519,James Cartlidge,"Cartlidge, James",James Cartlidge MP,James Cartlidge,South Suffolk,Conservative,M
417,4520,Matthew Pennycook,"Pennycook, Matthew",Matthew Pennycook MP,Matthew Pennycook,Greenwich and Woolwich,Labour,M
418,4521,Liz Saville Roberts,"Saville Roberts, Liz",Rt Hon Liz Saville Roberts MP,Liz Saville Roberts,Dwyfor Meirionnydd,Plaid Cymru,F
419,4522,Rebecca Pow,"Pow, Rebecca",Rebecca Pow MP,Rebecca Pow,Taunton Deane,Conservative,F
420,4523,Catherine West,"West, Catherine",Catherine West MP,Catherine West,Hornsey and Wood Green,Labour,F
421,4525,Christina Rees,"Rees, Christina",Christina Rees MP,Christina Rees,Neath,Independent,F
422,4527,Helen Whately,"Whately, Helen",Helen Whately MP,Helen Whately,Faversham and Mid Kent,Conservative,F
423,4528,James Heappey,"Heappey, James",Rt Hon James Heappey MP,James Heappey,Wells,Conservative,M
424,4529,Craig Mackinlay,"Mackinlay, Craig",Craig Mackinlay MP,Craig Mackinlay,South Thanet,Conservative,M
425,4530,Michelle Donelan,"Donelan, Michelle",Rt Hon Michelle Donelan MP,Michelle Donelan,Chippenham,Conservative,F
426,4531,Anne-Marie Trevelyan,"Trevelyan, Anne-Marie",Rt Hon Anne-Marie Trevelyan MP,Anne-Marie Trevelyan,Berwick-upon-Tweed,Conservative,F
427,4532,Derek Thomas,"Thomas, Derek",Derek Thomas MP,Derek Thomas,St Ives,Conservative,M
428,4569,Jim McMahon,"McMahon, Jim",Jim McMahon MP,,Oldham West and Royton,Labour (Co-op),M
429,4571,Gill Furniss,"Furniss, Gill",Gill Furniss MP,Gill Furniss,"Sheffield, Brightside and Hillsborough",Labour,F
430,4572,Chris Elmore,"Elmore, Chris",Chris Elmore MP,Chris Elmore,Ogmore,Labour,M
431,4573,Dr Rosena Allin-Khan,"Allin-Khan, Dr Rosena",Dr Rosena Allin-Khan MP,Dr Rosena Allin-Khan,Tooting,Labour,F
432,4589,Robert Courts,"Courts, Robert",Robert Courts MP,Robert Courts,Witney,Conservative,M
433,4591,Sarah Olney,"Olney, Sarah",Sarah Olney MP,,Richmond Park,Liberal Democrat,F
434,4592,Dr Caroline Johnson,"Johnson, Dr Caroline",Dr Caroline Johnson MP,Dr Caroline Johnson,Sleaford and North Hykeham,Conservative,F
435,4593,Trudy Harrison,"Harrison, Trudy",Trudy Harrison MP,,Copeland,Conservative,F
436,4597,Kemi Badenoch,"Badenoch, Kemi",Rt Hon Kemi Badenoch MP,,Saffron Walden,Conservative,F
437,4598,Mohammad Yasin,"Yasin, Mohammad",Mohammad Yasin MP,Mohammad Yasin,Bedford,Labour,M
438,4600,Leo Docherty,"Docherty, Leo",Leo Docherty MP,Leo Docherty,Aldershot,Conservative,M
439,4601,Andrew Bowie,"Bowie, Andrew",Andrew Bowie MP,Andrew Bowie,West Aberdeenshire and Kincardine,Conservative,M
440,4602,Wera Hobhouse,"Hobhouse, Wera",Wera Hobhouse MP,Wera Hobhouse,Bath,Liberal Democrat,F
441,4603,Preet Kaur Gill,"Gill, Preet Kaur",Preet Kaur Gill MP,Preet Gill,"Birmingham, Edgbaston",Labour (Co-op),F
442,4606,David Duguid,"Duguid, David",David Duguid MP,David Duguid,Banff and Buchan,Conservative,M
443,4607,Stephanie Peacock,"Peacock, Stephanie",Stephanie Peacock MP,Stephanie Peacock,Barnsley East,Labour,F
444,4608,John Lamont,"Lamont, John",John Lamont MP,John Lamont,"Berwickshire, Roxburgh and Selkirk",Conservative,M
445,4610,Bambos Charalambous,"Charalambous, Bambos",Bambos Charalambous MP,Bambos Charalambous,"Enfield, Southgate",Independent,M
446,4612,Jamie Stone,"Stone, Jamie",Jamie Stone MP,Jamie Stone,"Caithness, Sutherland and Easter Ross",Liberal Democrat,M
447,4613,Alex Burghart,"Burghart, Alex",Alex Burghart MP,Alex Burghart,Brentwood and Ongar,Conservative,M
448,4615,Lloyd Russell-Moyle,"Russell-Moyle, Lloyd",Lloyd Russell-Moyle MP,Lloyd Russell-Moyle,"Brighton, Kemptown",Labour (Co-op),M
449,4616,Rosie Duffield,"Duffield, Rosie",Rosie Duffield MP,Rosie Duffield,Canterbury,Labour,F
450,4617,Matt Western,"Western, Matt",Matt Western MP,Matt Western,Warwick and Leamington,Labour,M
